,network,id,version,summoner,summoningTime,createdAt,totalShares,guildBankAddress,totalLoot,molochAddress,name
0,arbitrum,0x02c6c33b9bb6b2fc8ae9ab43a0235f4d7897b5d9,2.1,0x8435d0a8f19f748cba91863b70eb986895ee4b49,1662046800,1662046800,1,,0,0x02c6c33b9bb6b2fc8ae9ab43a0235f4d7897b5d9,Zaibatsu-DAO
1,arbitrum,0x0a96234adacd1e71c9b2a237cf12374f64e05e3a,2.1,0x399540044cd5fd63bbc6cbec55a14232f65b457b,1652432312,1652432312,1,,0,0x0a96234adacd1e71c9b2a237cf12374f64e05e3a,
2,arbitrum,0x0d8d5002562405cb1ed598ff4fb48c948f36a18b,2.1,0xe3d8c94be1550dbde55811bb39c0d3868bafd068,1667987262,1667987262,1,,0,0x0d8d5002562405cb1ed598ff4fb48c948f36a18b,test commando
3,arbitrum,0x0feb2ee31f9d8bcc580f18d4fe8ed9de61d02ff8,2.1,0xbe694be8e812ae1a99443b32041142c36597a772,1651054083,1651054083,1,,0,0x0feb2ee31f9d8bcc580f18d4fe8ed9de61d02ff8,HIEROPHANT GREEN DAO
4,arbitrum,0x1543bcdf759c0fccbb375a8b8b0c5fd1393a9b85,2.1,0x0887a7d4ba8ed400f10b651b61ee49afa302c680,1636252707,1636252707,10,,0,0x1543bcdf759c0fccbb375a8b8b0c5fd1393a9b85,
5,arbitrum,0x15663f6b20fb1d842b1b92897d7f16b91ebe8bbc,2.1,0xefd534f9663e5b4730114c4e0abb8001654c14bf,1657739577,1657739577,1,,0,0x15663f6b20fb1d842b1b92897d7f16b91ebe8bbc,arb2
6,arbitrum,0x15909f6e92e32a6c3187fad2f7ea91f2b3dfdcf9,2.1,0x54c375c481f95ba43e2cecd6ef30631f55518f57,1642251552,1642251552,500000,,0,0x15909f6e92e32a6c3187fad2f7ea91f2b3dfdcf9,Cats DAO
7,arbitrum,0x1817f4cac037aab7b983b8be9d84cb78fcbdb2cb,2.1,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,1632432777,1632432777,1,,0,0x1817f4cac037aab7b983b8be9d84cb78fcbdb2cb,Arbys DAO
8,arbitrum,0x19b2b6c740884f34674c8fdf7072311703c34232,2.1,0x5d6a0c304097e0ef19291f57fd63d5151dc1fdb0,1657477150,1657477150,1,,0,0x19b2b6c740884f34674c8fdf7072311703c34232,
9,arbitrum,0x1e5d8415678a99bd69b87df7c2ece3f0c7b2a33a,2.1,0xae5de9158a9d0caa66e3f1d931600fa0c27a0911,1671210018,1671210018,11,,0,0x1e5d8415678a99bd69b87df7c2ece3f0c7b2a33a,Test_Arbitrum
10,arbitrum,0x1f30892dfbb665decf10d1ad9e183037d088f803,2.1,0x8888888884d2e4e981023da51b43066461f46dca,1651156409,1651156409,1,,0,0x1f30892dfbb665decf10d1ad9e183037d088f803,
11,arbitrum,0x207f9f27126e75fe48b577010078b1308d573069,2.1,0x4695a3ecde63ec9027733f3f63aa241b3d5f3095,1632440950,1632440950,120,,0,0x207f9f27126e75fe48b577010078b1308d573069,
12,arbitrum,0x26f43f0511f65c9e9c4ef7d6c444c986f5513265,2.1,0xa3d7c306e182121e63cb5258b27e35f11f70c4e5,1650226762,1650226762,3000,,0,0x26f43f0511f65c9e9c4ef7d6c444c986f5513265,Space Crew
13,arbitrum,0x2983a7d376fa57da419b3cd2aa749e6047753787,2.1,0x1c0aa8ccd568d90d61659f060d1bfb1e6f855a20,1644168537,1644168537,1,,0,0x2983a7d376fa57da419b3cd2aa749e6047753787,
14,arbitrum,0x2b02a5f2eebb7bfbefbd6f976c73157b13b5f84b,2.1,0x876c72f93407371d1cc97875b711f01f699d9138,1651285250,1651285250,1,,0,0x2b02a5f2eebb7bfbefbd6f976c73157b13b5f84b,
15,arbitrum,0x2c0b4b254832fb78ad5609871273d4e8c9eb8121,2.1,0x15c560d2d9eb3af98524aa73becba43e9e6cef02,1650044003,1650044003,1,,0,0x2c0b4b254832fb78ad5609871273d4e8c9eb8121,qwerqwer
16,arbitrum,0x2e6115376edbd430e3ec502d7a95e5edddaa157a,2.1,0x39f7e47a5b15a2d28e3e6314aa6bee450a2546dc,1634596497,1634596497,30,,0,0x2e6115376edbd430e3ec502d7a95e5edddaa157a,ARCHIVED
17,arbitrum,0x34ae91ff084baadf1242342bd0fa4521d5acc57b,2.1,0x876c72f93407371d1cc97875b711f01f699d9138,1651285483,1651285483,1,,0,0x34ae91ff084baadf1242342bd0fa4521d5acc57b,
18,arbitrum,0x393aa8bbd68c7e6b39a0c4c4ee148c309bc8eeb3,2.1,0xe14016d61f1e784f49c2bfd27f5f1a0155d0d4d5,1632153034,1632153034,1,,0,0x393aa8bbd68c7e6b39a0c4c4ee148c309bc8eeb3,arbitesting
19,arbitrum,0x3a7ebf465d910ecc984872e2316493d5d05ba869,2.1,0x807f50afe939ffe8cab4b38d53b9680baa823a20,1672630509,1672630509,9,,0,0x3a7ebf465d910ecc984872e2316493d5d05ba869,Consensus DAO
20,arbitrum,0x4034783e7b1993d7e01ff4751d383543789d1405,2.1,0xb49e800daf6e43e25e5cd9a0ffaa699db8462ff0,1654089198,1654089198,1,,0,0x4034783e7b1993d7e01ff4751d383543789d1405,bru
21,arbitrum,0x42cffc2f40f06146d11b249e4d0eb9ad78f51e7c,2.1,0x554306813001df510896140516ff281e88f87d62,1657973862,1657973862,1,,0,0x42cffc2f40f06146d11b249e4d0eb9ad78f51e7c,arb1
22,arbitrum,0x475e2de829504ff767a8d6c93e10c6395afd3ff4,2.1,0x38caf77dfe8e588ec4179b8c395644312fc85c49,1643404518,1643404518,1,,0,0x475e2de829504ff767a8d6c93e10c6395afd3ff4,Metachad DAO
23,arbitrum,0x47839e5373cd204f96d49d3a253c0433a2a5f038,2.1,0x196e919f74baeafca10c313043848c39a8f5effd,1637590793,1637590793,1,,0,0x47839e5373cd204f96d49d3a253c0433a2a5f038,CTRL (arbitrum)
24,arbitrum,0x4aa5bc2582d994984f91dadfe9ba2e7b81bb755c,2.1,0xae5de9158a9d0caa66e3f1d931600fa0c27a0911,1671209862,1671209862,10,,0,0x4aa5bc2582d994984f91dadfe9ba2e7b81bb755c,
25,arbitrum,0x51b8a36e288e0e928dca127d735931fecefb768d,2.1,0xced608aa29bb92185d9b6340adcbfa263dae075b,1629203183,1629203183,50,,0,0x51b8a36e288e0e928dca127d735931fecefb768d,test
26,arbitrum,0x54af2d9441345d285570f161a39c0389f2241208,2.1,0x27854a16ab3154fb8d8c52fdba67063ec86f5072,1670952257,1670952257,1,,0,0x54af2d9441345d285570f161a39c0389f2241208,
27,arbitrum,0x58af71df67399dde333ad735ce36cc7b84e3d93c,2.1,0x0af2e76ff3e9a536c876be3fa597ee252a46e306,1638407229,1638407229,8,,0,0x58af71df67399dde333ad735ce36cc7b84e3d93c,Yapeswap DAO
28,arbitrum,0x604909134468c18b5470b227f5443dcb4a726bbb,2.1,0x5b8102811ff0d65321297728b484ffa197693bda,1655655592,1655655592,1,,0,0x604909134468c18b5470b227f5443dcb4a726bbb,
29,arbitrum,0x61c4c9306d3c720d04d3b009d2caea8b6b22da89,2.1,0x78000b0605e81ea9df54b33f72ebc61b5f5c8077,1672628700,1672628700,1,,0,0x61c4c9306d3c720d04d3b009d2caea8b6b22da89,Consensus-DAO
30,arbitrum,0x64480e30e329e769cae996ce349fb9eed661ac6b,2.1,0x3053376df52a4fbc4c66fa28379252b86a47c638,1663613950,1663613950,1,,0,0x64480e30e329e769cae996ce349fb9eed661ac6b,KixoHaus DAO is for the people.
31,arbitrum,0x65513fa6e5af369ddaa3783e2565895927db0db1,2.1,0xeab4894a4ad50212a658b63c1b3ac16e87148f40,1666711042,1666711042,1,,0,0x65513fa6e5af369ddaa3783e2565895927db0db1,Haus Arbi Test
32,arbitrum,0x6b5308701326131adfbb8deab82e670c4ecf9e82,2.1,0x132db8234171cc9d8a65853cf03d5c0f46c8867e,1642575285,1642575285,1,,0,0x6b5308701326131adfbb8deab82e670c4ecf9e82,
33,arbitrum,0x6d2a2abb67c76cc906ca85ec391f9d13425ff13a,2.1,0xe14016d61f1e784f49c2bfd27f5f1a0155d0d4d5,1634292963,1634292963,1,,0,0x6d2a2abb67c76cc906ca85ec391f9d13425ff13a,arbitesting 2
34,arbitrum,0x6f785d7ad6e8f7677c2825c50da575d112e1edac,2.1,0x39f7e47a5b15a2d28e3e6314aa6bee450a2546dc,1635253977,1635253977,1,,0,0x6f785d7ad6e8f7677c2825c50da575d112e1edac,RigorDAO
35,arbitrum,0x751eda5aa0a1c026f51942e266ed82795428ae34,2.1,0x77dd52c08f4aaa9da42ed1bf2e738b8969ab980f,1635889318,1635889318,10000000,,15000000,0x751eda5aa0a1c026f51942e266ed82795428ae34,Fraktal
36,arbitrum,0x7810e35af6ecec91f532f35aa07cfd7cef2a3605,2.1,0x5625b2fcc8b13e3683ab3c213d21802267292206,1652446638,1652446638,1,,0,0x7810e35af6ecec91f532f35aa07cfd7cef2a3605,
37,arbitrum,0x7954a54eefe40d650d38e54027cbbb4d32e469c5,2.1,0x180b6608e2006b7d5c59dd690675805855138139,1651739206,1651739206,1,,0,0x7954a54eefe40d650d38e54027cbbb4d32e469c5,
38,arbitrum,0x7c5226999d3389b1e0efd3fdf71f8f88c876c4f5,2.1,0x5625b2fcc8b13e3683ab3c213d21802267292206,1652446424,1652446424,1,,0,0x7c5226999d3389b1e0efd3fdf71f8f88c876c4f5,
39,arbitrum,0x7eac9d5ab39deaf8256e900a6eac80c63bc95248,2.1,0xbe694be8e812ae1a99443b32041142c36597a772,1651054490,1651054490,2,,0,0x7eac9d5ab39deaf8256e900a6eac80c63bc95248,Workout DAO
40,arbitrum,0x7ed4799352c658962614bf9b0b23e8cf203f53c3,2.1,0x1dfca4eb9cf8605466a03f674227cb96308a0b89,1656258763,1656258763,1,,0,0x7ed4799352c658962614bf9b0b23e8cf203f53c3,
41,arbitrum,0x81455fd7e08dd755eb5ba59e087b2705f07d0179,2.1,0x2dbad7a9ebd35801a359eecc15e8da125f31eb2a,1657034447,1657034447,1,,0,0x81455fd7e08dd755eb5ba59e087b2705f07d0179,bbDAO
42,arbitrum,0x935704fca90a3c0baa86d77e3acefbfb2956561d,2.1,0xe5a4797b510b8b65a52a23dd60c3ea4d5dc8c4a6,1654105376,1654105376,1,,0,0x935704fca90a3c0baa86d77e3acefbfb2956561d,bre
43,arbitrum,0x9474449a15b14403615d84361d19872a51651b17,2.1,0x49ebca2495f0a18dd70655495996d29ca63e00f1,1663846485,1663846485,50,,0,0x9474449a15b14403615d84361d19872a51651b17,Nu DAO
44,arbitrum,0x96be0f5c6c92808616d0e08d8830684a2925cf2a,2.1,0x5dc9ac1fdceb41b280c0086d89e03e789cf613ec,1652858949,1652858949,1,,0,0x96be0f5c6c92808616d0e08d8830684a2925cf2a,FBA DAO
45,arbitrum,0x987e6e8f4c25e24287bf718ec30f0e5200b98e72,2.1,0x2d29c09ef733f48fe10074a2dd7c38b50a9d4d89,1662060250,1662060250,1,,0,0x987e6e8f4c25e24287bf718ec30f0e5200b98e72,
46,arbitrum,0x993aeae16fef14cb2e17d0fcc998b641275d88da,2.1,0xda5b2cd0d0bb26e79fb3210233ddabdb7de131c9,1635065762,1635065762,1,,0,0x993aeae16fef14cb2e17d0fcc998b641275d88da,
47,arbitrum,0x9efd10a182de23ebc48d0598a4e1c9ab9e11da83,2.1,0x7ee54ab0f204bb3a83df90fdd824d8b4abe93222,1672551581,1672551581,7,,0,0x9efd10a182de23ebc48d0598a4e1c9ab9e11da83,
48,arbitrum,0xa3014059b9095415b83486fbb80b20923e170ac5,2.1,0xc346007199007567438b1adb901be64ba910ea00,1653686287,1653686287,1,,0,0xa3014059b9095415b83486fbb80b20923e170ac5,brudao
49,arbitrum,0xa72edf01b60a8ffb13e4fd4707fe303ff87f23dc,2.1,0x5dc9ac1fdceb41b280c0086d89e03e789cf613ec,1652656444,1652656444,1,,0,0xa72edf01b60a8ffb13e4fd4707fe303ff87f23dc,
50,arbitrum,0xad3efbcf077da2219bdb94f163ce8ebfcb7f45b5,2.1,0xad3360b15b89178b67518d72265945121b8d23e9,1664550170,1664550170,1,,0,0xad3efbcf077da2219bdb94f163ce8ebfcb7f45b5,
51,arbitrum,0xaf3f16ffc461411f58f9fe775d776f507b760c04,2.1,0xda5a5d0faa9ac20b795adc433112d92b9daaaaf2,1667297026,1667297026,1,,0,0xaf3f16ffc461411f58f9fe775d776f507b760c04,المكعب
52,arbitrum,0xb2bc8f160bbf7bc05167791877f8770c77fba062,2.1,0x27f9abd54adb8921b7fccf87e5b66f3933dbff28,1656258632,1656258632,1,,0,0xb2bc8f160bbf7bc05167791877f8770c77fba062,
