,network,id,createdAt,molochAddress,memberAddress,shares,loot
0,arbitrum,0x751eda5aa0a1c026f51942e266ed82795428ae34-member-0x77fa39f3adf09bde9d4f175e40d0854d21a33318-rage-37341474,1668207724,0x751eda5aa0a1c026f51942e266ed82795428ae34,0x77fa39f3adf09bde9d4f175e40d0854d21a33318,5000000,0
1,arbitrum,0x751eda5aa0a1c026f51942e266ed82795428ae34-member-0xbc5b552641e5d203f0a6c230aa9dc14da7450053-rage-82128817,1681917532,0x751eda5aa0a1c026f51942e266ed82795428ae34,0xbc5b552641e5d203f0a6c230aa9dc14da7450053,5000000,0
2,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0x46ec2102eb83ef52a1193489d52f22d6c1b1b97d-rage-3220085,1637524049,0xea9916a3e6a28eca1c551ee3e78737336068395e,0x46ec2102eb83ef52a1193489d52f22d6c1b1b97d,1457,0
3,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0x66b1de0f14a0ce971f7f248415063d44caf19398-rage-12590546,1653084307,0xea9916a3e6a28eca1c551ee3e78737336068395e,0x66b1de0f14a0ce971f7f248415063d44caf19398,970,0
4,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0x67243d6c3c3bdc2f59d2f74ba1949a02973a529d-rage-6935936,1645857341,0xea9916a3e6a28eca1c551ee3e78737336068395e,0x67243d6c3c3bdc2f59d2f74ba1949a02973a529d,486,0
5,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0x77dd52c08f4aaa9da42ed1bf2e738b8969ab980f-rage-3214992,1637509834,0xea9916a3e6a28eca1c551ee3e78737336068395e,0x77dd52c08f4aaa9da42ed1bf2e738b8969ab980f,4088,0
6,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0x77fa39f3adf09bde9d4f175e40d0854d21a33318-rage-3217311,1637516213,0xea9916a3e6a28eca1c551ee3e78737336068395e,0x77fa39f3adf09bde9d4f175e40d0854d21a33318,953,0
7,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0xb8b8bcb1c9e15a9a2325c90b0803e6d225598245-rage-7657102,1646846377,0xea9916a3e6a28eca1c551ee3e78737336068395e,0xb8b8bcb1c9e15a9a2325c90b0803e6d225598245,486,0
8,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-member-0xced608aa29bb92185d9b6340adcbfa263dae075b-rage-14012427,1654637068,0xea9916a3e6a28eca1c551ee3e78737336068395e,0xced608aa29bb92185d9b6340adcbfa263dae075b,583,0
9,arbitrum,0xf2ebff62ff6cc2e90f2ec0f1a6a241d3628d810d-member-0xb8b8bcb1c9e15a9a2325c90b0803e6d225598245-rage-49886409,1672437340,0xf2ebff62ff6cc2e90f2ec0f1a6a241d3628d810d,0xb8b8bcb1c9e15a9a2325c90b0803e6d225598245,10,0
